"Faciliy Num";"Complaint Date";"Regulation(s) No";"Regulation_Description"
27928;"09/04/2012";"300.303.9";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
25932;"04/20/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
25932;"06/23/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
24411;"08/14/2018";"300.303.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
24411;"08/06/2018";"300.303.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
16661;"10/19/2018";"700.702.2";"Feedings for all children up to twelve (12) months of age shall be documented by the caregiver and available for review by the parent. This documentation shall continue for all children older than twelve (12) months of age who are still being given bottles."
16661;"10/19/2018";"600.603.3.f";"Medical Records shall include:A written record shall be made of all accidents, incidents, or injuries, indicating the location, time of day, area, or piece of equipment where the incident occurred. A copy of this shall be given to the parent or legal guardian on the day of occurrence."
27189;"01/07/2019";"300.301.13";"Group size shall be limited to 2 times the number of children allowed with one staff member. This does not apply to periodic or special group activities. Existing structures licensed prior to November 1, 2002 are exempt from this requirement. However, any expansions, additions or any newly licensed structures effective November 1, 2002 shall be in compliance."
27189;"04/18/2016";"800.801.5";"Thirty-five square feet per child of usable floor space shall be required for indoor activities. This does not include bathrooms, kitchen and hallways. Usable space in the child care center shall include areas in the classroom used for storage of programmatic materials which are accessible to children. This does not include closets or storage space for equipment that is not in use."
26022;"07/10/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
