"full_name";"owner_name";"license_no";"license_status";"license_type";"mailing_address_line_1";"mailing_address_city";"mailing_address_state";"mailing_address_zipcode";"mailing_address_county";"mailing_address_phone";"physical_address_line_1";"physical_address_city";"physical_address_state";"physical_address_zipcode";"physical_address_county";"physical_address_phone";"director_first_name";"director_last_name";"capacity";"age_wks_lo";"age_mos_lo";"age_yrs_lo";"age_yrs_hi"
"1-2-3 Follow Me";"Jenna McCormack";"CCFB-06754";"Permit Issued";"Family Based Program License";"PO Box 849";"Campton";"NH";03223;"Grafton";(603) 238-7441;"47 Mountain View Road";"Campton";"NH";03223;"Grafton";(603) 238-7441;"Jenna";"McCormack";9;6;;;12
"Watermelon Seeds Preschool and Learning Center";"LeeAnn Veinotte";"CCCB-06303";"Active";"Center Based Program License";"PO Box 185";"Campton";"NH";03223;"Grafton";(603) 726-4114;"24 Southmayd Street";"Campton";"NH";03223;"Grafton";(603) 726-4114;"LeeAnn";"Veinotte";40;6;;;15
"Indian River Nursery School";"Indian River Nusery School, Inc.";"CCCB-01266";"Active";"Center Based Program License";"PO Box 374";"Canaan";"NH";03741;"Grafton";(603) 523-9039;"9 On The Common Way";"Canaan";"NH";03741;"Grafton";(603) 523-9039;"Belinda   ";"Hayden";18;;;3;5
"Kelly's Little Friends Daycare";"Kelly J. French";"CCFB-05679";"Active";"Family Based Program License";"45 Grafton Turnpike Road";"Canaan";"NH";03741;"Grafton";(603) 523-8875;"45 Grafton Turnpike Road";"Canaan";"NH";03741;"Grafton";(603) 523-8875;"Kelly     ";"French";17;6;;;12
"M and C Children's Learning Place";"M and C Children's Learning Place, LLC";"CCCB-05692";"Active";"Center Based Program License";"205 Main Street";"Candia";"NH";03034;"Rockingham";(603) 483-5336;"205 Main Street";"Candia";"NH";03034;"Rockingham";(603) 483-5336;"Heidi     ";"Gregoire";75;6;;;12
"New Morning After School Program @ Henry Moore";"New Morning Schools, LLC";"CCCB-06473";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"12 Deerfield Road";"Candia";"NH";03034;"Rockingham";(603) 669-3591;"Lorie";"Wilson";51;;10;4;15
"Canterbury Kids Learning Center";"Canterbury Kids Learning Center, LLC";"CCCB-06604";"Active";"Center Based Program License";"PO Box 97";"Canterbury";"NH";03224;"Merrimack";(603) 783-4370;"6 Hackleboro Road";"Canterbury";"NH";03224;"Merrimack";(603) 783-4370;"Kristen";"Kinne";22;;11;2;12
"Buzy Beez Child Care Center";"Donna Miner";"CCCB-06712";"Active";"Center Based Program License";"27 Depot Road";"Center Barnstead";"NH";03225;"Belknap";(603) 269-3550;"27 Depot Road";"Center Barnstead";"NH";03225;"Belknap";(603) 269-3550;"Donna";"Miner";35;6;;;12
"Eva's Family Child Care";"Eva Marie Libby";"CCFB-05446";"Active";"Family Based Program License";"PO Box 506";"Center Conway";"NH";03813;"Carroll";(603) 447-3208;"100 White Oak Drive";"Center Conway";"NH";03813;"Carroll";(603) 447-3208;"Eva-Marie ";"Libby";9;6;;;12
"Little Hands, Big Dreams Childcare Center";"Krystal M. Gilmore";"CCCB-06596";"Active";"Center Based Program License";"PO Box 2382";"North Conway";"NH";03860;"Carroll";(603) 662-0131;"90 Odell Hill Road";"Center Conway";"NH";03813;"Carroll";(603) 662-0131;"Krystal";"Gilmore";42;6;;;10
"The Village Preschool";"Sally Mann";"CCCB-05861";"Active";"Center Based Program License";"34 Skyline Drive";"Moultonborough";"NH";03254;"Carroll";(603) 455-6322;"52 Main Street";"Center Harbor";"NH";03226;"Belknap";(603) 455-6322;"Karen";"Haskins";14;;;3;6
"Ossipee Area Head Start";"Tri-County Head Start";"CCCB-00619";"Active";"Center Based Program License";"PO Box 1002";"Center Ossipee";"NH";03814-1002;"Carroll";(603) 539-5094;"535 Route 25 East";"Center Ossipee";"NH";03814;"Carroll";(603) 539-5094;"Carissa   ";"Barrer";20;;;3;6
"Ossipee Concerned Citizens Child Care Center";"Ossipee Concerned Citizens Child Care, Inc.";"CCCB-04257";"Active";"Center Based Program License";"PO Box 426";"Center Ossipee";"NH";03814;"Carroll";(603) 539-6772;"5 Dore Street";"Center Ossipee";"NH";03814;"Carroll";(603) 539-6772;"Ann";"Adjutant";46;;13;;12
"Sandwich Children's Center";"Sandwich Children's Center";"CCCB-01656";"Active";"Center Based Program License";"54 Maple Street";"Center Sandwich";"NH";03227;"Carroll";(603) 284-7014;"54 Maple Street";"Center Sandwich";"NH";03227;"Carroll";(603) 284-7014;"Alfie";"Kerr";48;6;;;12
"Deb's Day Care";"Debra Harvey";"CCFB-05114";"Active";"Family Based Program License";"44 Old Claremont Road";"Charlestown";"NH";03603;"Sullivan";(603) 826-5733;"44 Old Claremont Road";"Charlestown";"NH";03603;"Sullivan";(603) 826-5733;"Debra     ";"Harvey";17;;2;;12
"Dagmar's Place";"Dagmar Congdon";"CCCB-05480";"Active";"Center Based Program License";"PO Box 530";"Charlestown";"NH";03603;"Sullivan";(603) 826-3263;"801 Meany Road";"Charlestown";"NH";03603;"Sullivan";(603) 826-3263;"Dagmar    ";"Congdon";9;6;;;12
"Wee Haven Child Care And Preschool";"Jennifer Baker";"CCCB-04414";"Active";"Center Based Program License";"1 South Main Street";"Charlestown";"NH";03603;"Sullivan";(603) 826-5437;"1 South Main Street";"Charlestown";"NH";03603;"Sullivan";(603) 826-5437;"Alethia   ";"Fischer";28;6;;;12
"Cheryl Bailey's Daycare";"Cheryl Bailey";"CCFB-06444";"Active";"Family Based Program License";"44 Cardinal Lane";"Charlestown";"NH";03603;"Sullivan";(603) 542-7395;"44 Cardinal Lane";"Charlestown";"NH";03603;"Sullivan";(603) 542-7395;"Cheryl";"Bailey";13;6;;;11
"One Step Ahead Daycare";"Karlene Lawrence & Lisa Lashway";"CCCB-06602";"Active";"Center Based Program License";"402 Old Claremont Road ";"Charlestown";"NH";03603;"Sullivan";(603) 826-4180;"402 Old Claremont Road";"Charlestown";"NH";03603;"Sullivan";(603) 826-4180;"Karlene";"Lawrence";35;;2;;12
"Imagination Station";"Sheila Willinsky";"CCFB-04393";"Active";"Family Based Program License";"127 Haverhill Road";"Chester";"NH";03036;"Rockingham";(603) 887-2345;"127 Haverhill Road";"Chester";"NH";03036;"Rockingham";(603) 887-2345;"Sheila    ";"Robertson";17;6;;;12
"Chesterbrook School of Natural Learning";"Sarah Drowne-Surrette";"CCCB-06752";"Permit Issued";"Center Based Program License";"232 Fremont Road";"Chester";"NH";03036;"Rockingham";;"232 Fremont Road";"Chester";"NH";03036;"Rockingham";;"Sarah";"Drowne-Surrette";20;;18;;10
"Love To Grow Family Daycare";"Love To Grow Family Daycare, LLC";"CCFB-06695";"Active";"Family Based Program License";"16 Meadow Fox Lane";"Chester";"NH";03036;"Rockingham";(603) 235-5712;"16 Meadow Fox Lane";"Chester";"NH";03036;"Rockingham";(603) 235-5712;"Melina";"Flibotte";9;6;;;12
"Play Laugh N' Grow - Chester";"Play Laugh N' Grow - Chester";"CCCB-06550";"Active";"Center Based Program License";"184 Raymond Road";"Chester";"NH";03036;"Rockingham";(603) 887-5862;"184 Raymond Road";"Chester";"NH";03036;"Rockingham";(603) 887-5862;"Christine";"Seelig";40;6;;;12
"Kelly Corner School";"Casandra Fabiano";"CCCB-04132";"Active";"Center Based Program License";"67 Kelly Corner Road";"Chichester";"NH";03258;"Merrimack";(603) 435-8893;"67 Kelly Corner Road";"Chichester";"NH";03258;"Merrimack";(603) 435-8893;"Cassandra ";"Dennison";24;;;3;6
"Anne's Daycare";"Anne Edmonds";"CCFB-06678";"Active";"Family Based Program License";"33 Towle Road";"Chichester";"NH";03258;"Merrimack";(603) 798-5536;"Anne's Daycare";"Chichester";"NH";03258;"Merrimack";(603) 798-5536;"Anne";"Edmonds";6;6;;;6
"New Morning Before & After School Programs @ Chichester Central School";"New Morning Schools, LLC";"CCCB-06556";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"219 Main Street";"Chichester";"NH";03258;"Merrimack";(603) 669-3591;"Chelsea";"Shuey";40;;10;4;15
"Southwestern Community Service - Claremont Headstart";"Southwestern Community Service";"CCCB-00700";"Active";"Center Based Program License";"PO Box 603";"Keene";"NH";03431;"Cheshire";(603) 352-7512;"6 Kinney Place";"Claremont";"NH";03743;"Sullivan";(603) 542-2721;"Amanda";"Dunham";36;;35;;6
"Pleasant Preschool";"Pleasant Preschool";"CCCB-05235";"Active";"Center Based Program License";"72 Pleasant Street";"Claremont";"NH";03743;"Sullivan";(603) 543-3288;"72 Pleasant Street";"Claremont";"NH";03743;"Sullivan";(603) 543-3288;"Andrea    ";"Wilson";16;;;3;7
"Green Mountain Children's Center - Claremont";"Green Mountain Children's Center, Inc.";"CCCB-06043";"Active";"Center Based Program License";"90 Charlestown Road";"Claremont";"NH";03743;"Sullivan";(603) 543-0391;"90 Charlestown Road";"Claremont";"NH";03743;"Sullivan";(603) 543-0391;"Christy   ";"Loiselle";56;6;;;11
"Smiling Faces Day Care";"Cheryl A. Ferland";"CCFB-04475";"Active";"Family Based Program License";"6 Pawtucket Avenue";"Claremont";"NH";03743;"Sullivan";(603) 543-1455;"6 Pawtucket Avenue";"Claremont";"NH";03743;"Sullivan";(603) 543-1455;"Cheryl    ";"Ferland";12;;2;;12
"Picard's Family Day Care";"Laurielynne Picard";"CCFB-05800";"Active";"Family Based Program License";"165 A Sugar River Drive";"Claremont";"NH";03743;"Sullivan";(603) 542-2047;"165 A Sugar River Drive";"Claremont";"NH";03743;"Sullivan";(603) 542-2047;"Laurielynne";"Picard";9;6;;;12
"Sunflower Child Care";"Zoya V. Gruenbaum";"CCFB-05924";"Active";"Family Based Program License";"53 Lane Ridge Road";"Claremont";"NH";03743;"Sullivan";(603) 542-4792;"53 Lane Ridge Road";"Claremont";"NH";03743;"Sullivan";(603) 542-4792;"Zoya  ";"Gruenbaum";12;6;;;12
"Tiny Tots Of Claremont";"Elaine Brodeur";"CCFB-00073";"Active";"Family Based Program License";"29 Woonsocket Avenue";"Claremont";"NH";03743;"Sullivan";(603) 542-9042;"29 Woonsocket Avenue";"Claremont";"NH";03743;"Sullivan";(603) 542-9042;"Elaine";"Brodeur";12;6;;;12
"Together We Grow - Claremont";"Together We Grow-  A Cooperative Preschool";"CCCB-06731";"Active";"Center Based Program License";"PO Box 920";"Newport";"NH";03773;"Sullivan";(603) 543-9566;"140 North Street";"Claremont";"NH";03743;"Sullivan";(603) 543-9566;"Sally";"Jason";16;;33;;10
"Green Mountain Children's Center - Disnard";"Green Mountain Children's Center";"CCCB-06518";"Active";"Center Based Program License";"90 Charlestown Road";"Claremont";"NH";03743;"Sullivan";(603) 543-0391;"160 Hanover Street";"Claremont";"NH";03743;"Sullivan";(603) 543-0391;"Carolyn";"Rohdenburg";40;;11;4;11
"Green Mountain Children's Center - Maple Ave";"Green Mountain Children's Center";"CCCB-06507";"Active";"Center Based Program License";"90 Charlestown Road";"Claremont";"NH";03743;"Sullivan";(603) 543-0391;"210 Maple Avenue";"Claremont";"NH";03743;"Sullivan";(603) 543-0391;"Carrie";"Harn";60;;11;4;11
"Girard Daycare";"Brandi Girard";"CCFB-06586";"Active";"Family Based Program License";"19 Nelmar Heights";"Claremont";"NH";03743;"Sullivan";(603) 542-3104;"19 Nelmar Heights";"Claremont";"NH";03743;"Sullivan";(603) 542-3104;"Brandi";"Girard";12;6;;;12
"Maccioli Day Care";"Sara Maccioli";"CCFB-06713";"Active";"Family Based Program License";"14 Lilac Lane";"Claremont";"NH";03743;"Sullivan";(603) 542-2741;"41 Lilac Lane";"Claremont";"NH";03743;"Sullivan";(603) 542-2741;"Sara";"Maccioli";9;6;;;12
"Ready Set Grow Childcare";"Ready Set Grow Childcare LLC";"CCCB-06757";"Permit Issued";"Center Based Program License";"10 Royce Street";"Claremont";"NH";03743;"Sullivan";(603) 287-7900;"10 Royce Street";"Claremont";"NH";03743;"Sullivan";(603) 287-7900;"Shalha";"Caffrey";125;8;;;12
"Green Mountain Children's Center - Bluff";"Green Mountain Children's Center ";"CCCB-06491";"Active";"Center Based Program License";"90 Charles Town Road";"Claremont";"NH";03743;"Sullivan";(603) 543-0391;"2 Summit Road";"Claremont";"NH";03743;"Sullivan";(802) 296-2296;"Carrie";"Ham";100;;11;4;15
"Colebrook Head Start";"Tri-County Head Start";"CCCB-05701";"Active";"Center Based Program License";"53 Park Street";"Colebrook";"NH";03576;"Coos";(603) 237-8190;"53 Park Street";"Colebrook";"NH";03576;"Coos";(603) 237-8190;"Faith     ";"Adair";19;;;3;5
"Brooks' Colebrook Country Day School";"Brooks' Colebrook Country Day School, LLC";"CCCB-05294";"Active";"Center Based Program License";"21 Couture Street";"Colebrook";"NH";03576;"Coos";(603) 237-4350;"21 Couture Street";"Colebrook";"NH";03576;"Coos";(603) 237-4350;"Amy       ";"Brooks";61;;3;;12
"All About Kids Learning Center";"All About Kids Learning Center LLC";"CCCB-06513";"Active";"Center Based Program License";"68 Parsons Street";"Colebrook";"NH";03576;"Coos";(603) 237-1160;"68 Parsons Street";"Colebrook";"NH";03576;"Coos";(603) 237-1160;"Nicole";"Pariseau";35;6;;;12
"Step Ahead Learning Center";"Step Ahead, Inc.";"CCCB-04994";"Active";"Center Based Program License";"79 Clinton Street";"Concord";"NH";03301;"Merrimack";(603) 228-4466;"79 Clinton Street";"Concord";"NH";03301;"Merrimack";(603) 228-4466;"Kimberly  ";"Erickson";70;;18;;6
"Concord Head Start, Early Head Start And Community Child Care";"Community Action Program Belknap-Merrimack Counties";"CCCB-00910";"Active";"Center Based Program License";"PO Box 1016";"Concord";"NH";03302-1016;"Merrimack";(603) 224-6492;"67 Old Loudon Road";"Concord";"NH";03301;"Merrimack";(603) 224-6492;"Amelia";"Verdrager";145;6;;;6
"NHTI Child & Family Development Center";"NHTI Child & Family Development Center";"CCCB-05566";"Active";"Center Based Program License";"31 College Drive";"Concord";"NH";03301;"Merrimack";(603) 230-4024;"21 College Drive";"Concord";"NH";03301;"Belknap";(603) 230-4024;"Lisa      ";"Ranfos";62;6;;;6
"The Children's Place and Parent Education Center";"The Children's Place and Parent Education Center, Inc.";"CCCB-00696";"Active";"Center Based Program License";"PO Box 576";"Concord";"NH";03301;"Merrimack";(603) 224-9920;"27 Burns Avenue";"Concord";"NH";03301;"Merrimack";(603) 224-9920;"Carolyn";"Hughes";20;6;;;6
"The Learning Center at Concord Hospital";"Concord Hospital Inc.";"CCCB-01693";"Active";"Center Based Program License";"139 Langley Parkway";"Concord";"NH";03301;"Merrimack";(603) 224-0590;"139 Langley Parkway";"Concord";"NH";03301;"Merrimack";(603) 224-0590;"Maureen   ";"Salo";120;8;;;8
"Head 2 Toe Learning Center";"Head 2 Toe Learning Center, LLC";"CCCB-06163";"Active";"Center Based Program License";"3 Garrison Street";"Concord";"NH";03301;"Merrimack";(603) 369-4633;"3 Garrison Street";"Concord";"NH";03301;"Merrimack";(603) 369-4633;"Deborah";"Follansbee";50;;13;;9
"The Early Enrichment Center";"Concord Early Enrichment Center, LLC";"CCCB-05990";"Active";"Center Based Program License";"16 Chennell Drive";"Concord";"NH";03301;"Merrimack";(603) 224-3282;"16 Chennell Drive";"Concord";"NH";03301;"Merrimack";(603) 224-3282;"Brenda    ";"Lafratta";81;6;;;9
"Merrimack Valley Day Care Service @ NH Hospital";"Merrimack Valley Day Care Service";"CCCB-02599";"Active";"Center Based Program License";"19 North Fruit Street";"Concord";"NH";03301;"Merrimack";(603) 271-5790;"97 Pleasant Street, Thayer Building";"Concord";"NH";03301;"Merrimack";(603) 271-5790;"Nancy     ";"Nason";35;;3;;12
"Merrimack Valley Day Care Service At Eagle's Bluff";"Merrimack Valley Day Care Service INC";"CCCB-05016";"Active";"Center Based Program License";"19 North Fruit Street";"Concord";"NH";03301;"Belknap";(603) 225-4305;"2 Quincy Street";"Concord";"NH";03301;"Belknap";(603) 225-4305;"Elizabeth";"Bolduc";44;;3;;12
"The Woodside School";"Woodside School, Inc.";"CCCB-01016";"Active";"Center Based Program License";"114 South Fruit Street";"Concord";"NH";03301;"Merrimack";(603) 224-8418;"114 South Fruit Street";"Concord";"NH";03301;"Merrimack";(603) 224-8418;"Kathy     ";"Ellis";96;;18;;12
"East Side Learning Center";"Faith Tabernacle Church";"CCCB-02831";"Active";"Center Based Program License";"164 East Side Drive";"Concord";"NH";03301;"Merrimack";(603) 224-2717;"164 East Side Drive";"Concord";"NH";03301;"Merrimack";(603) 224-2717;"Amy";"Upton";185;;30;;12
"Discovery Village Early Learning Center";"Discovery Village Early Learning Center, LLC";"CCCB-06097";"Active";"Center Based Program License";"213 North Main Street";"Concord";"NH";03301;"Merrimack";(603) 717-0291;"213 North Main Street";"Concord";"NH";03301;"Merrimack";(603) 717-0291;"Kelli";"Bruns";17;;;2;12
"Merrimack Valley Day Care Service";"Merrimack Valley Day Care Service";"CCCB-00912";"Active";"Center Based Program License";"19 North Fruit Street";"Concord";"NH";03301;"Merrimack";(603) 224-1632;"19 North Fruit Street";"Concord";"NH";03301;"Merrimack";(603) 224-1632;"Gail      ";"Gagne";80;6;;;12
"NH Odd Fellows Home Children's Center";"NH Odd Fellows Home, Inc.";"CCCB-05086";"Active";"Center Based Program License";"200 Pleasant St";"Concord";"NH";03301;"Merrimack";(603) 225-6644;"200 Pleasant St";"Concord";"NH";03301;"Merrimack";(603) 225-6644;"Brandy    ";"Alfieri";25;6;;;12
"Concord Family YMCA Child Development Center";"Concord Family YMCA";"CCCB-00705";"Active";"Center Based Program License";"15 North State Street";"Concord";"NH";03301;"Merrimack";(603) 228-9622;"15 North State Street";"Concord";"NH";03301;"Merrimack";(603) 228-9622;"Cheryl    ";"Smith";232;12;;;12
"First Start Children's Center";"Second Start";"CCCB-00993";"Active";"Center Based Program License";"17 Knight Street";"Concord";"NH";03301;"Merrimack";"6032281341ext7";"17 Knight Street";"Concord";"NH";03301;"Merrimack";"6032281341ext7";"Gerry     ";"Mitchell";150;6;;;13
"Merrimack Valley Day Care Service @ Jennings Drive";"Merrimack Valley Day Care Service";"CCCB-05819";"Active";"Center Based Program License";"19 North Fruit Street";"Concord";"NH";03301;"Merrimack";(603) 224-1632;"19 Jennings Drive, Haller Center";"Concord";"NH";03301;"Merrimack";(603) 224-1632;"Angela    ";"Sinclair";40;;;5;15
"Girls Incorporated of New Hampshire @ Concord";"Girls Incorporated of New Hampshire";"CCCB-05505";"Active";"Center Based Program License";"15 Shawmut Street";"Concord";"NH";03301;"Merrimack";(603) 223-0087;"15 Shawmut Street";"Concord";"NH";03301;"Merrimack";(603) 223-0087;"Karen     ";"Billings";80;;;5;18
"Ralph Waldo Emerson School For Preschoolers";"Emerson School for Preschoolers, Inc.";"CCCB-00742";"Active";"Center Based Program License";"274 Pleasant Street";"Concord";"NH";03301;"Merrimack";(603) 224-8218;"274 Pleasant Street";"Concord";"NH";03301;"Merrimack";(603) 224-8218;"Susan";"Hagner";22;;35;;6
"The Tot Spot";"The Tot Spot, LLC";"CCCB-06622";"Active";"Center Based Program License";"60 West Street";"Concord";"NH";03301;"Merrimack";(603) 224-0404;"60 West Street";"Concord";"NH";03301;"Merrimack";(603) 224-0404;"Alexandria";"Nelson";38;;12;;5
"Rumford Learning Center";"Rumford Learning Center LLC";"CCCB-06662";"Active";"Center Based Program License";"40 Thorndike Street";"Concord";"NH";03301;"Merrimack";(603) 953-3607;"40 Thorndike Street";"Concord";"NH";03301;"Merrimack";(603) 953-3607;"Deborah";"Follansbee";40;6;;;6
"Woodside at St. Paul's School";"Woodside School, Inc.";"CCCB-06748";"Permit Issued";"Center Based Program License";"325 Pleasant Street";"Concord";"NH";03301;"Merrimack";(603) 229-5576;"Sawmill Road";"Concord";"NH";03301;"Merrimack";(603) 229-5576;"Kathy";"Ellis";75;;;;10
"The Y @ 21C/ Beaver Meadow School";"Concord Family YMCA ";"CCCB-06730";"Active";"Center Based Program License";"15 North State Street";"Concord";"NH";03301;"Merrimack";(603) 783-1129;"40 Sewalls Fall Road";"Concord";"NH";03301;"Merrimack";(603) 783-1129;"Courtney ";"Moser";45;;;5;13
"The Y @ 21C/Abbot Downing School";"Concord Family YMCA ";"CCCB-06591";"Active";"Center Based Program License";"15 North State Street";"Concord";"NH";03301;"Merrimack";(603) 783-1137;"152 South Street";"Concord";"NH";03301;"Merrimack";(603) 783-1137;"Alexandra";"Mathews";135;;;5;15
