"Name";"Last Name";"First Name";"Type Of Care";"Street Address";"City";"ID";"Zip";"Area Code";"Phone";"Age Range";"Accepts ICCP";"Financial Assistance";"Quality Rating";"Health & Safety Check";"Type of Registration";"Website";"Full/Part Time Care";"Environment";"Accreditation";"Meals";"Elementary Schools";"Special Needs";"Languages";"Education";"Age Groups & Rates"
"NEW HORIZON CHILD CARE - BOISE AVE";"TURNER";"BRANDY";"Child Care Center";"155 E BOISE AVE";"BOISE";479124;83706;208;"386-9108";"1 month 2 weeks to 12 years";"ICCP, QRIS";"Multi-child discount";"Step 6 of 6";"http://idahochildcarecheck.org/provider/2091";"ICCP, QRIS";"http://newhorizonacadamy.net";"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"GARFIELD, HAWTHORNE, LIBERTY, OWYHEE-Boise, Riverside, TRAIL WIND, WHITE PINE, Whitney";"Motor Physically Impaired, Hearing Impaired, Visually Impaired, ADHD/ADD";"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 182.00 Weekly PT, 254.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 175.00 Weekly PT, 245.00 Weekly FT, 154.00 Other PT, 216.00 Other FT<br/>31-60 Months (2.5-5 years) : 146.00 Weekly PT, 204.00 Weekly FT, 134.00 Other PT, 188.00 Other FT<br/>5 - 6 Years : 134.00 Weekly PT, 188.00 Weekly FT, 134.00 Other PT<br/>6 - 12 Years : 62.00 Weekly PT, 188.00 Weekly FT, 134.00 Other PT"
"NEW HORIZON CHILD CARE - WEST USTICK";"MOORE";"TAMARA";"Child Care Center";"11978 W USTICK RD";"BOISE";348766;83713;208;"323-8900";"1 month 2 weeks to 12 years";"ICCP, QRIS";"Multi-child discount";"Step 6 of 6";"http://idahochildcarecheck.org/provider/3016";"ICCP, QRIS";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Lunch, Afternoon Snack";"FRONTIER, HORIZON, Morley Nelson Elementary, SPAULDING, SUMMERWIND, USTICK, VALLEY VIEW";;"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 10.00 Hourly PT, 258.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 10.00 Hourly PT, 253.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 10.00 Hourly PT, 211.00 Weekly FT<br/>5 - 6 Years : 145.00 Weekly FT<br/>6 - 12 Years : 108.00 Weekly FT"
"THE CHILDRENS SCHOOL OF BOISE INC";"SHADDUCK";"NICOLE";"Child Care Center";"1015 N 8TH ST";"BOISE";405997;83702;208;"343-6840";"2 years to 8 years";"QRIS";"Continuing Scholarship Program";"Step 6 of 6";"http://idahochildcarecheck.org/provider/2087";"QRIS";"http://www.tcsboise.org";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";"NAEYC";"Morning Snack, Afternoon Snack, Parent to Provide Meals";;"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English, Spanish";"Bachelor's Degree, other";"<br/>13-30 Months (1-2.5 years) : 1000.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 672.00 Monthly PT, 1000.00 Monthly FT<br/>5 - 6 Years : 1013.00 Monthly FT<br/>6 - 12 Years : 1013.00 Monthly FT"
"RIVERBEND PRESCHOOL";"AYARRA";"GENEVA";"(FCC)Group Child Care";;"BOISE";642622;83703;208;"407-5957";"3 years to 6 years";"ICCP, QRIS";"Continuing Scholarship Program, Sliding Fee Scales, Multi-child discount";"Step 6 of 6";"http://idahochildcarecheck.org/provider/11711";"ICCP, QRIS";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";"NAFCC";"Morning Snack, Afternoon Snack, USDA Food Program, Parent to Provide Meals";;"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, ADHD/ADD, Other";"English, Spanish, Basque";"Bachelor's Degree, Child Related";"<br/>31-60 Months (2.5-5 years) : 390.00 Monthly PT, 690.00 Monthly FT<br/>5 - 6 Years : 390.00 Monthly PT, 690.00 Monthly FT<br/>6 - 12 Years : 390.00 Monthly PT, 690.00 Monthly FT"
"MONTESSORI ACADEMY - PARKCENTER";"AFOA";"LILA";"Child Care Center";"649 E PARKCENTER BLVD";"BOISE";1010479;83706;208;"344-0004";"2 years to 5 years";"QRIS, City Licensed-data collection";"Multi-child discount";"Step 6 of 6";"http://idahochildcarecheck.org/provider/13796";"QRIS, City Licensed-data collection";"http://www.parkcentermontessori.com";"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard, Special needs accessible";"Other";"Morning Snack, Lunch, Afternoon Snack, Parent to Provide Meals";;"Hearing Impaired, Other";"English, Spanish, Sign Language";"Master's Degree, other";"<br/>13-30 Months (1-2.5 years) : 767.00 Monthly PT, 900.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 683.00 Monthly PT, 821.00 Monthly FT<br/>5 - 6 Years : 821.00 Monthly PT, 821.00 Monthly FT"
"REBER FAMILY DAYCARE LLC";"REBER";"GENII";"Family Child Care";;"BOISE";995040;83703;208;"559-0773";"2 months to 8 years";"ICCP, QRIS";"Multi-child discount";"Step 5 of 6";"http://idahochildcarecheck.org/provider/13627";"ICCP, QRIS";;"Both";"Smoke Free Facility, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";"COLLISTER, CYNTHIA MANN";;"English";"Some College, other";"<br/>0 - 12 Months : 50.00 Daily FT, 1000.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 50.00 Daily FT, 1000.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 50.00 Daily FT, 900.00 Monthly FT<br/>5 - 6 Years : 50.00 Daily FT, 800.00 Monthly FT<br/>6 - 12 Years : 50.00 Daily FT, 800.00 Monthly FT"
"PUENTES LANGUAGE PROGRAMS LLC";"MCGAVIN";"TRUDY";"Child Care Center";"1605 S PHILLIPPI ST";"BOISE";231572;83705;208;"344-4270";"1 year 5 months to 10 years";"ICCP, QRIS";"Multi-child discount";"Step 3 of 6";"http://idahochildcarecheck.org/provider/9095";"ICCP, QRIS";"http://www.puentes.biz";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard, Computer for children's use, Special needs accessible";;"Morning Snack, Lunch, Afternoon Snack, USDA Food Program";"GRACE, HAWTHORNE, Jefferson-Boise, MONROE, OWYHEE-Boise, Whitney, WHITTIER";"Motor Physically Impaired, Visually Impaired, ADHD/ADD";"English, Spanish";"Bachelor's Degree, Child Related, Master's Degree, other";"<br/>13-30 Months (1-2.5 years) : 549.00 Monthly PT, 784.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 482.00 Monthly PT, 718.00 Monthly FT<br/>5 - 6 Years : 518.00 Monthly PT, 687.00 Monthly FT<br/>6 - 12 Years : 518.00 Monthly PT, 630.00 Monthly FT"
"WINGS CENTER (CLUB KID)";"ROPER";"SHARAE";"Child Care Center";"1875 CENTURY WAY";"BOISE";360801;83709;208;"376-3641";"3 years to 13 years";"ICCP, QRIS";"Multi-child discount";"Step 3 of 6";"http://idahochildcarecheck.org/provider/2082";"ICCP, QRIS";"http://www.wingscenter.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Parent to Provide Meals";"LIBERTY, MAPLE GROVE, MONROE, OWYHEE-Boise, Pepper Ridge Elementary-Boise, SILVER SAGE, SPAULDING, WHITE PINE";"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, ADHD/ADD";"English, Spanish";"High School Diploma/GED, Associate's Degree, Child Related";"<br/>31-60 Months (2.5-5 years) : 169.00 Weekly FT<br/>5 - 6 Years : 124.00 Weekly FT<br/>6 - 12 Years : 124.00 Weekly FT"
"BORN TO SUCCEED EARLY CARE & EDUCATION CENTER";"KITUKU";"THERESIA";"Child Care Center";"4770 N SHAMROCK ST";"BOISE";204326;83713;208;"658-5561";"2 months to 13 years";"ICCP, QRIS";"Multi-child discount";"Step 3 of 6";"http://idahochildcarecheck.org/provider/9886";"ICCP, QRIS";"http://www.myborntosucceed.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Morning Snack, Afternoon Snack, Parent to Provide Meals";"FRONTIER, GATEWAY, JOPLIN, PIONEER, SUMMERWIND, VALLEY VIEW";"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";"Ask Provider";"<br/>0 - 12 Months : 200.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 190.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 165.00 Weekly FT<br/>5 - 6 Years : 155.00 Weekly FT<br/>6 - 12 Years : 155.00 Weekly FT"
"KOOTENAI KIDS PRESCHOOL LLC";"DAVIS";"MARCIA";"Child Care Center";"4802 W KOOTENAI ST";"BOISE";701697;83705;208;"424-5055";"2 months to 5 years";"ICCP, QRIS";;"Step 3 of 6";"http://idahochildcarecheck.org/provider/12683";"ICCP, QRIS";"http://www.k2preschool.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";"HILLCREST, Jefferson-Boise, OWYHEE-Boise, Whitney";;"English";"Master's Degree, child related";"<br/>13-30 Months (1-2.5 years) : 520.00 Monthly PT, 628.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 442.00 Monthly PT, 581.00 Monthly FT, 602.00 Other FT"
"EARLY LEARNING CHILDRENS CENTER";"DAVIS";"JANET";"Child Care Center";"7064 W STATE ST";"BOISE";624155;83714;208;"853-2800";"1 month 2 weeks to 12 years";"ICCP, QRIS";"Multi-child discount";"Step 2 of 6";"http://idahochildcarecheck.org/provider/11251";"ICCP, QRIS";"http://earlylearningcc.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";"ANSER CHARTER SCHOOL, COLLISTER, CYNTHIA MANN, PIERCE PARK, WHITTIER, WILLIAM HOWARD TAFT";"Developmental Disability, Emotional/Behavioral Disability, ADHD/ADD";"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 429.00 Monthly PT, 605.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 429.00 Monthly PT, 605.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 369.00 Monthly PT, 495.00 Monthly FT<br/>5 - 6 Years : 3458.00 Monthly PT, 468.00 Monthly FT<br/>6 - 12 Years : 226.00 Monthly PT, 353.00 Monthly FT"
"GIRAFFE LAUGH ELC 4";"HERNANDEZ";"LAURA";"Child Care Center";"3641 N MARKET LN";"BOISE";1034595;83703;208;"954-5465";"1 month 2 weeks to 5 years";"ICCP, QRIS";"Continuing Scholarship Program, Sliding Fee Scales, Multi-child discount";"Step 2 of 6";"http://idahochildcarecheck.org/provider/13983";"ICCP, QRIS";"http://www.giraffelaugh.org";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program, Infant Formula Provided";;"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";"Associate's Degree, Child Related";"<br/>0 - 12 Months : 674.00 Monthly PT, 920.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 662.00 Monthly PT, 900.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 623.00 Monthly PT, 850.00 Monthly FT, 780.00 Other FT"
"YMCA - WEST CHILD DEVELOPMENT CENTER";"LANE";"MICHELLE";"Child Care Center";"12650 W BRIDGER ST STE 120";"BOISE";250804;83713;208;"344-5502";"1 year to 11 years";"ICCP, QRIS";"Continuing Scholarship Program";"Step 1 of 6";"http://idahochildcarecheck.org/provider/2156";"ICCP, QRIS";"http://www.ymcatvidaho.org";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";"CECIL D ANDRUS, JOPLIN";"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness";"English";"Some College, other";"<br/>13-30 Months (1-2.5 years) : 930.00 Monthly FT, 878.00 Other FT<br/>31-60 Months (2.5-5 years) : 870.00 Monthly FT<br/>5 - 6 Years : 66.00 Daily PT, 176.00 Weekly FT<br/>6 - 12 Years : 66.00 Daily PT, 176.00 Weekly FT"
"YMCA - CHILDRENS VILLAGE";"JESS";"KATIE";"Child Care Center";"950 W STATE ST";"BOISE";488873;83702;208;"345-6408";"1 month 2 weeks to 5 years";"ICCP, QRIS";"Continuing Scholarship Program";"Step 1 of 6";"http://idahochildcarecheck.org/provider/2165";"ICCP, QRIS";;"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";;"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English, Spanish";"Bachelor's Degree, other";"<br/>0 - 12 Months : 996.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 930.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 870.00 Monthly FT<br/>5 - 6 Years : 794.00 Monthly FT"
"KIMS KARE A LOT CHILDCARE";"HUFFMAN";"KIMBERLY";"Child Care Center";"8083 W FAIRVIEW AVE";"BOISE";476983;83704;208;"407-4113";"1 month 2 weeks to 12 years";"ICCP";;"Beginning partipation in Steps to Quality";"http://idahochildcarecheck.org/provider/10277";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program, Infant Formula Provided";"Morley Nelson Elementary";;"English, Spanish";"High School Diploma/GED";"<br/>0 - 12 Months : 140.00 Weekly PT, 790.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 140.00 Weekly PT, 726.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 140.00 Weekly PT, 650.00 Monthly FT<br/>5 - 6 Years : 120.00 Weekly PT, 578.00 Monthly FT<br/>6 - 12 Years : 100.00 Weekly PT, 471.00 Monthly FT"
"SOUL-FULL CHILD PRESCHOOL";"NICE";"MANDI";"(FCC)Group Child Care";;"BOISE";1032950;83704;208;"830-2490";"6 months to 6 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13953";"ICCP";"http://www.thesoul-fullchild.com";"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";;;"English";"Associate's Degree, Child Related";"<br/>0 - 12 Months : 750.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 650.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 650.00 Monthly FT<br/>5 - 6 Years : 650.00 Monthly FT"
"JUST FOR KIDS - TRAILWIND ELEMENTARY";"GIACHETTI";"ALISON";"Child Care Center";"3701 E LAKE FOREST DR";"BOISE";427606;83716;208;"854-6720";"4 years to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/4023";"ICCP";"http://www.boiseschools.org/jfk";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";"TRAIL WIND";"Developmental Disability, Motor Physically Impaired, Hearing Impaired, ADHD/ADD";"English";"Master's Degree, child related";"<br/>31-60 Months (2.5-5 years) : 128.00 Weekly FT, 502.00 Monthly FT<br/>5 - 6 Years : 118.00 Weekly FT, 463.00 Monthly FT<br/>6 - 12 Years : 84.00 Weekly FT, 326.00 Monthly FT"
"LOVAN LOYCES CHILDCARE";"LOVAN";"SAMANTHA";"(FCC)Group Child Care";;"BOISE";713691;83716;208;"949-0351";"1 month 2 weeks to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12821";"ICCP";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";;;"English";;"<br/>0 - 12 Months : 30.00 Daily FT<br/>13-30 Months (1-2.5 years) : 30.00 Daily FT<br/>31-60 Months (2.5-5 years) : 30.00 Daily FT<br/>5 - 6 Years : 30.00 Daily FT<br/>6 - 12 Years : 30.00 Daily FT"
"BOHRN TO ACHIEVE CHILDCARE & PRESCHOOL";"BOHRN";"DONNA";"Child Care Center";"2555 S FIVE MILE RD";"BOISE";352214;83709;208;"672-0101";"1 month 2 weeks to 6 years";"City Licensed-data collection";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/6009";"City Licensed-data collection";"http://www.bohrntoachieve.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"MAPLE GROVE, SILVER SAGE";"Developmental Disability, Infant Monitoring Device, Hearing Impaired, Visually Impaired, ADHD/ADD";"English, Sign Language";"Associate's Degree, Child Related";"<br/>0 - 12 Months : 135.00 Weekly PT, 165.00 Weekly FT, 540.00 Monthly PT, 660.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 135.00 Weekly PT, 165.00 Weekly FT, 540.00 Monthly PT, 660.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 130.00 Weekly PT, 155.00 Weekly FT, 520.00 Monthly PT, 620.00 Monthly FT<br/>5 - 6 Years : 175.00 Weekly PT, 145.00 Weekly FT, 580.00 Monthly FT<br/>6 - 12 Years : 110.00 Weekly PT, 125.00 Weekly FT, 440.00 Monthly PT, 500.00 Monthly FT"
"YMCA - WASHINGTON YS KIDS";"JESS";"KATIE";"Child Care Center";"1050 W STATE ST";"BOISE";291029;83702;208;"344-5502";"5 years to 6 years";"ICCP";"Sliding Fee Scales";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2151";"ICCP";"http://www.ymcatvidaho.org";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";"ADAMS, HIGHLAND, LONGFELLOW, LOWELL ELEMENTARY, ROOSEVELT, WASHINGTON, WHITTIER";"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";;"<br/>5 - 6 Years : 158.00 Other FT<br/>6 - 12 Years : 109.00 Weekly PT, 147.00 Weekly FT"
"KIDS UNDER CONSTRUCTION";"CALKINS";"STEPHANIE";"Child Care Center";"2490 S CLOVERDALE RD";"BOISE";330315;83709;208;"321-1133";"1 month 2 weeks to 12 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/5371";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";"DESERT SAGE ELEMENTARY, MAPLE GROVE, Pepper Ridge Elementary-Boise";"ADHD/ADD";"English";"High School Diploma/GED, Some College, child related";"<br/>0 - 12 Months : 195.00 Weekly FT, 780.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 185.00 Weekly FT, 740.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 165.00 Weekly FT, 660.00 Monthly FT<br/>5 - 6 Years : 155.00 Weekly FT, 620.00 Monthly FT<br/>6 - 12 Years : 100.00 Weekly FT, 400.00 Monthly FT"
"WELCOME FRIENDS CHILDCARE AND PRESCHOOL LLC";"MANDERSCHEID";"JACQUELINE";"Family Child Care";;"BOISE";689925;83713;208;"375-7386";"1 month 2 weeks to 5 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12463";"ICCP";"http://www.welcomefriendschildcareandpreschool.com";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program, Special Meal Request, Infant Formula Provided";;"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 32.00 Daily PT, 160.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 32.00 Daily PT, 160.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 32.00 Daily PT, 160.00 Weekly FT<br/>5 - 6 Years : 32.00 Daily PT, 160.00 Weekly FT"
"KIDS ZONE DAYCARE";"WOLL";"LINDA";"Child Care Center";"7119 USTICK RD";"BOISE";452900;83704;208;"377-3556";"1 month 2 weeks to 5 years";"City Licensed-data collection";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2622";"City Licensed-data collection";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack";;;"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 225.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 200.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 175.00 Weekly FT"
"HILLSIDE ACADEMY INC";"BROWN";"BARBARA";"Child Care Center";"3900 HILL RD";"BOISE";239555;83703;208;"440-6899";"4 years to 12 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1873";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";"COLLISTER, CYNTHIA MANN, LONGFELLOW, LONGFELLOW-BOISE, WASHINGTON";"Hearing Impaired, ADHD/ADD";"English";"Some College, other";"<br/>31-60 Months (2.5-5 years) : 600.00 Monthly FT<br/>5 - 6 Years : 600.00 Monthly FT<br/>6 - 12 Years : 600.00 Monthly FT, 350.00 Other PT"
