"Provider Id";"Complaint Received";"Requirement";"Description";"Allegation Description";"Plan to Correct";"Allegation Findings"
"K830022247";"3/29/2021";"340:110-3-288(c)";"Inappropriate discipline. Personnel are prohibited from using or threatening to use inappropriate discipline.";"Discipline (Serious) - A staff person is using inappropriate physical discipline with children.";"Notice to comply received from the programs responsible entity Keith McCombs on 5/24/21 - As a correction action we now have a separate standard on conduct and accountability form that all staff sign at orientation and annually. We also have implemented a new policy where we are not only calling potential employee's references, but are also asking these references for their references to dig down deeper in the hiring process. We have added an additional interview question about guidance and discipline and since hiring this particular individual we have revamped our orientation process. The new process has in depth classes on the child care education institute including classes on guidance. We are hopeful that by adding these pre-hiring processes we can be assured that this type of incident does not occur again.";"Substantiated"
"K830022247";"3/29/2021";"340:110-3-288(c)(2)(C)";"yelling at a child out of anger or using harsh or profane language;";"During the course of the investigation licensing determined the following additional non compliance; A staff person is yelling at children out of anger and frustration (Serious)";"Notice to comply received from the programs responsible entity Keith McCombs on 5/24/21 - As a correction action we now have a separate standard on conduct and accountability form that all staff sign at orientation and annually. We also have implemented a new policy where we are not only calling potential employee's references, but are also asking these references for their references to dig down deeper in the hiring process. We have added an additional interview question about guidance and discipline and since hiring this particular individual we have revamped our orientation process. The new process has in depth classes on the child care education institute including classes on guidance. We are hopeful that by adding these pre-hiring processes we can be assured that this type of incident does not occur again.";"Substantiated"
"K830025110";"1/4/2021";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Personnel(Judgement)-Personnel are using inappropriate language in the presence of children";"Personnel in question and all personnel will receiving further training on appropriate behavior guidance techniques, with emphasis on using appropriate language.";"Substantiated"
"K830024276";"12/28/2018";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Staff Judgment: Staff are not demonstrating good judgment.";;"Substantiated"
"K830024276";"12/28/2018";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision: The program is not maintaining supervision of the children.";;"Substantiated"
"K830021752";"9/29/2020";"340:110-3-281.2(c)(5)(A)";"Personnel's attendance. Daily attendance is:";"additional noncompliance found: attendance - the program is not maintaining attendance records for the Director.";"maintain daily attendance of director";"Substantiated"
"K830005443";"9/1/2020";"340:110-3-284(c)";"Responsibilities. Personnel meet the general responsibility requirements listed in (1) through (3) of this subsection.";"Staff Judgment- Responsibilities for caring for and educating children was not met.";"In the event an infant puts an arm/leg through a crib slat, the teacher will call for an administrator to witness and support removal of arm/leg from crib or any other apparatus that may cause a similar situation. In addition, the administrator will provide witness to documentation. This will provide the necessary supervision of both infant and teacher in the unlikely event that this occurs again. All teachers will be reminded of supervision policies and will continue to be required to supervise all children at all times when in care.";"Substantiated"
"K830023318";"12/5/2019";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"Discipline -- Personnel are using physical discipline with children";;"Substantiated"
"K830052337";"9/24/2019";"340:110-3-281.4(b)(2)";"Infant and 1-year-old daily record. Daily records for 1-year-olds and younger are available in the child's classroom and include prompt documentation of eating, diapering, and sleeping activities.";"Records: Daily records are not being kept for 1- year-olds to reflect eating, diapering, and sleeping activities.";"Child Care center has made a daily record sheet for everyone 24 months & younger and are given to parents daily. The daily record sheet reflect eating, diapering, sleeping and activities.";"Substantiated"
"K830021772";"3/21/2019";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"During the course of the investigation, the following additional serious non-compliance was determined: Required staff/child ratios are not being maintained.";"It is difficult to correct the substantiated claim for staff/child ratios, when we are not provided with any details of when, where or how this was reported to have occurred as part of this substantiated complaint. That being said, we conducted training for child/staff ratios and blending of ages in classrooms during the hours of operation, as apart of our staff meeting on 10-1-19 as well as individual training with new staff members. Our director and asst. director continuously monitor our class rosters for proper ratios throughout the day.";"Substantiated"
